[12:01:55] [info] Shaddock: Creating window Shaddock Editor (1280, 720)
[12:01:56] [info] Shaddock: OpenGL Information:
[12:01:56] [info] Shaddock: Vendor: NVIDIA Corporation
[12:01:56] [info] Shaddock: Renderer: GeForce 710M/PCIe/SSE2
[12:01:56] [info] Shaddock: Version: 4.5.0 NVIDIA 362.09
[12:01:56] [info] Shaddock: Major Version: 4
[12:01:56] [info] Shaddock: Minor Version: 5
[12:01:56] [warning] Shaddock: PixelData = 1036831949
[12:01:57] [warning] Shaddock: PixelData = 1036831949
[12:01:57] [warning] Shaddock: PixelData = 1036831949
[12:01:57] [warning] Shaddock: PixelData = 1036831949
[12:01:57] [warning] Shaddock: PixelData = 1036831949
[12:01:57] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [trace] Shaddock: Deserialize Scene Untitled
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:02] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
